Header:,,,
#Digilent WaveForms Logic Analyzer Acquisition,,,
#Device Name: Discovery2,,,
#Serial Number: SN:210321A3700F,,,
#Date Time: 2022-10-28 16:30:14.816,,,
#Sample rate: 50000Hz,,,
#Samples: 1366378,,,
,,,
time, angle, A, B
9.11632,-25.488281,0,1
9.1167,-25.664062,1,1
9.11704,-25.839844,1,0
9.11734,-26.015625,0,0
9.11764,-26.191406,0,1
9.11804,-26.367188,1,1
9.11834,-26.542969,1,0
9.11866,-26.71875,0,0
9.11894,-26.894531,0,1
9.11934,-27.070312,1,1
9.11966,-27.246094,1,0
9.11998,-27.421875,0,0
9.12028,-27.597656,0,1
9.12066,-27.773438,1,1
9.12098,-27.949219,1,0
9.1213,-28.125,0,0
9.1216,-28.300781,0,1
9.122,-28.476562,1,1
9.12232,-28.652344,1,0
9.12264,-28.828125,0,0
9.12294,-29.003906,0,1
9.12334,-29.179688,1,1
9.12366,-29.355469,1,0
9.12398,-29.53125,0,0
9.12432,-29.707031,0,1
9.12472,-29.882812,1,1
9.12506,-30.058594,1,0
9.1254,-30.234375,0,0
9.12572,-30.410156,0,1
9.12612,-30.585938,1,1
9.12646,-30.761719,1,0
9.12678,-30.9375,0,0
9.1271,-31.113281,0,1
9.1275,-31.289062,1,1
9.12786,-31.464844,1,0
9.12818,-31.640625,0,0
9.1285,-31.816406,0,1
9.1289,-31.992188,1,1
9.12924,-32.167969,1,0
9.12958,-32.34375,0,0
9.1299,-32.519531,0,1
9.13032,-32.695312,1,1
9.13064,-32.871094,1,0
9.13098,-33.046875,0,0
9.1313,-33.222656,0,1
9.13174,-33.398438,1,1
9.13208,-33.574219,1,0
9.13242,-33.75,0,0
9.13276,-33.925781,0,1
9.13318,-34.101562,1,1
9.13354,-34.277344,1,0
9.13388,-34.453125,0,0
9.13424,-34.628906,0,1
9.13466,-34.804688,1,1
9.13504,-34.980469,1,0
9.1354,-35.15625,0,0
9.13574,-35.332031,0,1
9.13618,-35.507812,1,1
9.13654,-35.683594,1,0
9.13688,-35.859375,0,0
9.13724,-36.035156,0,1
9.13768,-36.210938,1,1
9.13804,-36.386719,1,0
9.1384,-36.5625,0,0
9.13874,-36.738281,0,1
9.1392,-36.914062,1,1
9.13956,-37.089844,1,0
9.13992,-37.265625,0,0
9.1403,-37.441406,0,1
9.14074,-37.617188,1,1
9.14112,-37.792969,1,0
9.1415,-37.96875,0,0
9.14186,-38.144531,0,1
9.14232,-38.320312,1,1
9.14272,-38.496094,1,0
9.14308,-38.671875,0,0
9.14344,-38.847656,0,1
9.14392,-39.023438,1,1
9.14432,-39.199219,1,0
9.1447,-39.375,0,0
9.14508,-39.550781,0,1
9.14554,-39.726562,1,1
9.14596,-39.902344,1,0
9.14634,-40.078125,0,0
9.14672,-40.253906,0,1
9.1472,-40.429688,1,1
9.1476,-40.605469,1,0
9.14798,-40.78125,0,0
